number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1955,edition 1955,price 1956,edition 1956,price 1957,edition 1957,price 1958,edition 1958,price 1959,edition 1959,price 1960,edition 1960
4835,Азербайджанский медицинский журнал,,,М—во здравоохранения Азербайдж. ССР,1925,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,300.0,3000.0,300.0,3000.0,300.0,3000.0,,,300.0,2650.0
4836,Бюллетень экспериментальной биологии и медицины,,,Акад. мед. наук СССР,1936,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,300.0,2748.0,300.0,3013.0,800.0,2905.0,800.0,2692.0,800.0,2507.0,800.0,2443.0
4837,Вестник Академии медицинских наук СССР,,,Академии медицинских наук СССР,1946,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,600.0,2972.0
4838,Военно—медицинский журнал,,,Воен.—мед. упр. М—ва обороны СССР,1823,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,300.0,,300.0,,300.0,,300.0,,300.0,,300.0,
4839,Вопросы медицинской химии,,,М—во здравоохранения СССР,1955,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,400.0,1378.0,400.0,2753.0,400.0,2510.0,400.0,2229.0,400.0,2214.0,650.0,1951.0
4840,Вопросы питания,,,М—во здравоохранения СССР,1932,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,500.0,9808461.0,500.0,8461.0
4841,Врачебное дело,,,Орган М—ва здравоохранения УССР.,1918,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,600.0,13715.0
4860,* За социалистическое здравоохранение Узбекистана,См. 4860.,См. 4860.,См. 4860.,См. 4860.,См. 4860.,См. 4860.,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,,
4842,Здоровье,,,министерств здравоохранения СССР и РСФСР.,1955,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,200.0,750000.0
4843,Здоровье,,,М—ва здравоохранения Латв. ССР.,1958,,,﻿а) Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины. Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1955 - 1960,ЖУРНАЛЫ,,,,,,,,,,,200.0,80000.0
