number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1966,edition 1966,price 1967,edition 1967,price 1968,edition 1968,price 1969,edition 1969,price 1970,edition 1970
593,Азербайджанский медицинский журнал ,Азэрбачан тибб журналы,,М-во здравоохранения АзССР,1925,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,5110.0,30.0,5690.0,30.0,6595.0,30.0,7600.0,30.0,8323.0
594,Акушерство и гинекология,,,М-во здравоохранения СССР. Всесоюз. науч. о-во акушеров-шнекологов,1922,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,30.0,53030.0,30.0,56445.0,30.0,56000.0,30.0,58567.0,30.0,60295.0
595,Антибиотики,,,"М-во здравоохранения ■СССР. Всесоюз. науч. о-во эпидемиологов, микробиологов и инфекционистов",1956,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,45.0,4325.0,45.0,4076.0,45.0,3858.0,45.0,4033.0,45.0,4255.0
596,Архив патологии,,,Акад. мед. наук СССР,1935,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,3929.0,50.0,4232.0,50.0,3955.0,50.0,4063.0,50.0,4255.0
597,Бюллетень Всемирной организации здравоохранения,,,«Медицина» М. по поручению М-ва здравоохранения СССР.,1964,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,85.0,,85.0,,85.0,,85.0,,85.0,
598,Бюллетень экспериментальной биологии и медицины,,,Акад. мед. наук СССР,1936,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,80.0,2271.0,80.0,2136.0,80.0,2200.0,80.0,2188.0,80.0,2188.0
599,Вестник Академии медицинских наук СССР,,,Академии медицинских наук СССР,1946,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,60.0,2791.0,60.0,2576.0,60.0,2439.0,60.0,2454.0,60.0,2532.0
600,Вестник дерматологии и венерологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во дерматологов и венерологов,1924,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,40.0,9960.0,40.0,10177.0,40.0,10252.0,40.0,10902.0,40.0,11743.0
601,Вестник оториноларингологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во оториноларингологов,1936,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,50.0,12331.0,50.0,12496.0,50.0,12506.0,50.0,13043.0,50.0,13742.0
602,Вестник офтальмологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во офтальмологов,1884,,,﻿31.ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1966 - 1970,журнал,45.0,11836.0,45.0,12379.0,,,45.0,13104.0,45.0,13610.0
