number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1977,edition 1977,price 1978,edition 1978,price 1979,edition 1979,price 1980,edition 1980
2087,Бюллетень сигнальной информациио	журнале «Лабораторное дело»,,Ежемес. информ. вып.,/ Всесоюз. науч. о-во врачей-лаборантов.,1980,— М. : Медици-на,1980 —1980. 10 к. 96 — 3.000 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,10.0,1548.0
2088,Всесоюзные медицинские съезды и конференции,,2088.	Всесоюзные медицинские съезды и конференции,/ ВНИИ мед. и мед.-техн. информ.,1963,— М.,1978 ——	15 к. №.•	1978 Вып. 1(19).	3.500 экз.; 1979Вып. 1(20). 3.900 экз.; 1980 Вып. 1(21). 3.600 экз.Вып. 1(17) — 1976,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,15.0,3500.0,15.0,3500.0,15.0,3500.0
2089,Ежемесячная информация о караи-ъинных заболеваниях за рубежом,,2089.	Ежемесячная информация о караи-ъинных заболеваниях за рубежом,"/ М-во здравоохранения СССР, Гл. упр. карантин.инфекций, Центр, противочум. станций.",1980,,"2089.	Ежемесячная информация о караи-ъинных заболеваниях за рубежом / М-во здравоохранения СССР, Гл. упр. карантин.инфекций, Центр, противочум. станций. —Б. ц. 1980 —1980. Б. ц. 810 экз",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,810.0
2090,Заболевания сердечно-сосудистой системы,,Информ. бюл.,"/ Ин-т кардиологии им. Л. Л. Оганесяна, Отд. науч. мед. нн-форм.",1977,— Ереван : Айастан,"300 экз.Вып. 1, 2. 1977. 7 к.; вып. 3. 1979. 5 к",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,7.0,300.0,,,5.0,300.0,,
2091,Знаменательные и юбилейные датыистории медицины и организации здравоохранения Узбекистана,,,"/ Респ. . науч.-мед. б-ка, Респ. дом сан. просвещения.",1974,— Ташкент : Медицина,1977Вып. 2. 1977. 40 к. 1.500 экз,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,40.0,1500.0,,,,,,
2092,Инструктивно-методические материалы по охране здоровья ребенка,,,/ Белорус. НИИ охраны материнства и детства.,1976,— Минск,. 1979.Прекр. на вып. 2:Вып. 2. 1979. 1 р. 1.100 экз.[Вып. 1] — 1976 Организационно-методические материалы по охране здоровья ребенка («Кн. лет.»),﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,100.0,1100.0,,
2093,"Инструкции, аннотации и другиематериалы по применению медицинских средств",,,"/ М-во здравоохранения СССР, Гл. аптеч. упр.",1970,— М. : Всесоюз.информ. бюро,"1978 —Изд. : 1976 — 1979 Всесоюз. конъюнкт.-информ. бюро.Беспл. 1.000 экз.1978	Вып. 3 — 6; 1979 Вып. 1, 2; 1980 Вып. 2.Вып. 5 — 1976",﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,1000.0,,1000.0,,1000.0,,1000.0
274,Итоги науки и техники. М,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 274.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
274,Серия : Иммунология. М,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 274.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
274,Серия : Медицинская география.  М,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 274.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
274,Серия : Онкология.  М,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 274.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
274,Серия : Патологическая анатомия.  М,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 274.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
274,Серия : Токсикология.  М,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 274.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
274,Серия : Фармакология. Химиотерапевтические средства. М,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,См. 274.,﻿35. ЗДРАВООХРАНЕНИЕ.МЕДИЦИНСКИЕ НАУКИ,См. 274.,Летопись печатных и периодических изданий СССР. Бюллетени. 1977 - 1980,бюллетень,,,,,,,,
