number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontypeprice 1981,edition 1981,price 1982,edition 1982,price 1983,edition 1983,price 1984,edition 1984,price 1985,edition 1985
2511,Бюллетень Сибирского отделения Академии медицинских наук СССР.,,,.	Бюллетень Сибирского отделения Академии медицинских наук СССР.,1981,— Новосибирск: Сов. Сибирь,1981	—Двухмес.,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Двухмес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,70.0,500.0,70.0,500.0,80.0,500.0,80.0,500.0,80.0,500.0
2512,Бюллетень сигнальной информации о	журнале «Лабораторное дело»,,Ежемес. информ. вып.,/ Воесоюз. науч. о-во вра-чей-лаборантов.,1980,— М.: Медицина,1981 —,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,10.0,3000.0,10.0,3000.0,10.0,2154.0,10.0,1404.0,10.0,1588.0
2513,Всесоюзные медицинские съезды и конференции,,2513.	Всесоюзные медицинские съезды и конференции,/ ВНИИ мед. и мед.-техн. информ.,1963,— М.,1981 —1 раз в год.[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,1 раз в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,4200.0,15.0,4700.0,15.0,3800.0,20.0,4000.0,,
2514,Гигиена,,Экспресс-информация,/ВНИИ мед. и мед.-техн. информ.,1973,— М.,"1981 —Ежемес. — Загл.: 1980 — 1984 Экспресс-информация. — Загл. серии: 1980— 1984 Гигиена окружающей среды,",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежемес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,1771.0,15.0,1838.0,15.0,1690.0,20.0,1614.0,20.0,1528.0
2515,Гигиена окружающей среды и СССР,,Ежегод. публ. об исслед. сов. авторов,/ АМН СССР.,1978,— М.: Медицина,1981 —[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,300.0,4400.0,,,,,300.0,4400.0,350.0,3400.0
2516,"Инструкции, аннотации и другиематериалы по применению медицинских средств",,,"/ М-во здравоохранения СССР, Гл. аптеч. упр.",1970,— М.:Всесоюз. информ. бюро,1981 —,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,30000.0,,1000.0,,1000.0,,1000.0,,1000.0
2517,Медицина и здравоохранение Серия Гигиена.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,3 раза в год (1981 — 1983 ежекварт.)[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,3 раза в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,75.0,1450.0,68.0,1375.0,75.0,1450.0,100.0,1180.0,300.0,1450.0
2518,Медицина и здравоохранение Серия Медицинская генетика и иммунология.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1984,— М.,3 раза в год.[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,3 раза в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,,,,,,300.0,1142.0,300.0,1250.0
2519,Медицина и здравоохранение Серия Обзоры по важнейшим проблемам медицины.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1978,— М.,3 раза в год (1981 —1983 ежекварт.)[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,3 раза в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,75.0,,75.0,3025.0,75.0,3050.0,300.0,3275.0,300.0,3315.0
2520,Медицина и здравоохранение Серия Онкология.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,Ежекварт.[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,75.0,1425.0,75.0,1425.0,75.0,1485.0,100.0,1355.0,100.0,1340.0
2521,Медицина и здравоохранение Серия Охрана материнства и детства.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,3 раза в год (1981 —1983 2 раза в год). — Загл. серии: 1980—1983 Серия: Педиатрия.[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,3 раза в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,138.0,2200.0,138.0,2050.0,138.0,2125.0,300.0,1700.0,300.0,1648.0
2522,"Медицина и здравоохранение Серия Социальная гигиена, организация и управление здравоохранением.",,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,Двухмес. (1982—1984	7 раз в год). —Загл. серии: 1980—1984 Серия: Социальная гигиена и организация здравоохранения.[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Двухмес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,68.0,2550.0,384.0,2550.0,384.0,2550.0,388.0,2550.0,100.0,2350.0
2523,Медицина и здравоохранение Серия Терапия.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,Двухмес. (1981 —1983 7 раз в год).[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Двухмес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,388.0,3235.0,388.0,4190.0,388.0,3260.0,700.0,3139.0,700.0,3350.0
2524,Медицина и здравоохранение Серия Фармакология и фармация.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,2 раза в год.. — М.: Всесоюз. информ. бк>-[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,2 раза в год,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,75.0,4435.0,75.0,5475.0,75.0,4435.0,200.0,6350.0,200.0,4435.0
2525,Медицина и здравоохранение Серия Хирургия.,,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,Двухмес.[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Двухмес,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,75.0,2150.0,75.0,2150.0,75.0,1960.0,100.0,1843.0,100.0,1755.0
2526,"Медицина и здравоохранение Серия Эпидемиология, вирусология и инфекционные заболевания",,"Обзор, информ.",/ ВНИИ мед. и мед.-техн. информ.,1976,— М.,Ежекварт. — 3 а г л. с е р и и: 1980— 1983 Серия: Эпидемиология и инфекционные болезни.[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,Ежекварт,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,75.0,1975.0,75.0,1865.0,75.0,2035.0,100.0,1670.0,100.0,1620.0
2527,Медицинская промышленность,,"Обзор, информ.: Обеспечение целевых программ и программ по решению важнейших научно-технических проблем","/ М-во мед. пром-сти, ЦБНТИ медпром.",1985,— М.,1985 —[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,,,,,,,,53.0,460.0
2528,Медицинский бюллетень,,,/ Мага-дан. обл. дом сан. просвещения.,1965,— Магадан: Кн. изд-во,"1981Загл.: вып. 22—23 Обмен опытом. — Надзаг.: вып. 22—23 ... просвещения, Магадан, обл. ком. О-ва Красного Креста.Вып. 23. 1981. 15 к. 2.000 экз.; вып. 25. 1985. 25 к. 1.500 экз.Вып. 22 — 1980",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,15.0,2000.0,,,,,,,25.0,1500.0
2529,"Методические рекомендации и указания но организации, учету и планированию аптечного дела",,,"/ М-во здравоохранения СССР, Гл. аптеч. упр.",1969,— М.: Всесоюз. информ. бюро,"1981Загл.: 1982 Методические рекомендации по организации...Беспл.Вып. 4—6 1981. 1.000—30.000 экз.; Вып. 3. 1982. 500—30.000 экз., вып. 4. ; Вып. 1—4, 1983.  6.200—50.000 экз.; Вып. 2—5. 1984 1 030—30.000 экз.; Вып. 2. 4, 5, 5 [а], 1985. 6.350—30 000 экз.Вып. 5 — 1980",﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,15500.0,,15250.0,,28100.0,,15500.0,,15500.0
2530,Методические указания по определению вредных веществ в воздухе,,,/М-во здравоохранения СССР.,1960,— М.,1981 —[,﻿36. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие «опросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника. Гигиена и санитария,,Летопись печатных и периодических изданий СССР. Бюллетени. 1981 - 1985,бюллетень,,1000.0,,,,1160.0,,,,
